MOD15A2H.A2000049.h30v12.006.2020041210828.Lai_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,0.2,0.3,F,F,F,F,F,F,F,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,F,F,F,F,F,0.1,0.1,0.3,0.2,0.2,F,F,F,0.7,F,F,F,F,F,F,F,0.1,0.3,0.4,0.3,0.5,F,0.3,0.7,0.3,0.3,F,F,F,F,F,F,F,F,F,F,0.3,F,0.2,0.5,0.5,0.5,F,F,F,F,F,F,F,0.1,F,F,F,0.3,0.3,0.3,0.5,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.3,0.6,0.8,0.8,0.5,F,F,F,F,F,F,F,F,F,F,0.3,0.8,1.0,0.8,F,F,F,F,F,F,F,F,F,F,0.3,0.4,0.8,0.8,0.8,F,F,F,F,F,F,F,F,F,F,F,0.3,0.3,0.7,0.7,0.8,F,F,0.8,0.8,0.6,F,F,F,F,F,F,0.3,0.7,0.7,0.6,F,F,F,0.9,0.8,F,F,0.6,1.0,1.1,F,0.3,F,0.5,0.5,0.5,F,F,1.0,0.9,1.0,0.6,0.6,F,F,1.1,F,0.3,0.5,F,F,F,0.5,0.5,0.5,0.6,0.6,0.6,0.6,F,F,F,F,F,0.3,0.3,F,F,0.5,0.5,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,0.5,0.5,0.5,0.7,F,F,F,F,F,0.2,F,F,0.6,0.6,F,0.9,0.9,0.5,0.8,0.8,0.7,F,F,F,0.2,0.2,0.5,0.5,0.5,F,F,F,1.0,1.5,1.4,1.4,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2009049.h30v12.006.2021121144243.Lai_500m,MOD15A2H,A2009049,Lat-33.6152Lon150.7236Samp17Line17,2021121144243,4.8,4.6,4.6,1.8,2.1,1.9,0.8,1.3,1.9,1.8,1.9,1.8,1.6,1.6,0.9,1.0,0.6,4.6,4.6,2.0,1.3,1.7,1.8,1.8,1.8,1.6,1.8,2.0,1.7,1.6,1.0,0.6,0.6,F,4.5,4.5,2.2,1.9,1.8,1.9,1.8,1.7,1.6,1.8,1.7,1.6,0.6,1.0,2.1,F,1.8,4.1,2.1,1.9,1.9,1.7,1.6,1.6,1.5,1.8,1.8,1.3,2.0,1.7,1.4,1.5,1.0,1.4,2.1,1.8,1.6,1.0,0.8,1.6,1.5,1.6,1.8,1.0,1.3,1.7,1.0,1.0,1.3,1.2,F,1.6,1.6,0.8,1.0,1.6,1.6,0.8,1.0,1.2,1.7,0.9,0.9,1.2,1.3,F,F,F,1.5,0.8,1.2,1.5,1.6,1.2,2.2,2.0,1.0,1.0,1.0,0.9,0.8,0.8,0.8,F,F,0.9,1.2,1.9,0.9,1.4,1.5,F,F,0.9,1.8,1.0,0.8,0.8,0.8,F,F,0.9,2.2,1.8,1.9,1.7,F,1.8,1.9,1.6,1.1,0.9,0.8,0.9,1.0,0.8,1.1,1.3,1.3,1.2,2.2,1.2,F,1.3,0.9,1.1,1.1,1.6,1.4,1.0,0.7,1.0,0.6,1.0,1.0,0.6,1.6,F,F,0.7,1.0,1.0,0.7,1.6,1.8,1.4,0.7,0.7,0.8,1.3,1.0,1.1,1.0,F,0.9,F,1.0,0.7,0.7,0.7,1.0,1.3,0.8,1.4,1.6,1.9,1.5,F,1.0,F,0.8,1.4,F,F,F,0.7,0.7,0.8,1.2,0.7,1.5,1.4,0.6,1.2,F,F,F,0.8,0.6,0.6,0.6,0.9,0.7,0.7,1.3,1.4,1.4,1.5,1.2,F,F,F,F,F,0.7,1.0,0.6,0.7,1.6,1.3,0.8,0.8,1.5,1.2,1.6,F,1.2,F,F,1.0,1.1,F,1.0,0.8,1.6,1.8,1.6,0.8,1.1,1.6,1.6,1.6,1.3,0.9,0.9,1.3,1.1,1.3,F,1.7,1.6,0.8,1.0,0.8,1.1,1.6,0.9,0.9,1.0,3.7,3.7,2.4,0.9,1.2,1.3
MOD15A2H.A2009057.h30v12.006.2021122101117.Lai_500m,MOD15A2H,A2009057,Lat-33.6152Lon150.7236Samp17Line17,2021122101117,4.9,4.9,5.1,1.6,1.6,1.6,1.1,1.6,2.1,2.2,1.6,1.6,1.6,F,0.2,0.5,1.0,4.4,4.4,1.6,1.6,1.6,1.6,1.6,2.1,1.5,1.6,1.6,2.0,1.9,1.9,1.2,1.0,F,4.4,4.9,1.5,1.8,1.6,1.6,1.8,1.5,1.5,1.9,1.9,1.9,1.2,1.2,1.1,F,1.5,4.9,1.5,1.8,1.5,2.0,1.4,1.4,1.9,1.9,1.9,0.6,F,1.4,F,1.5,1.0,0.5,1.3,1.3,2.1,1.6,1.3,1.8,1.8,1.8,1.2,1.3,1.3,1.4,1.1,1.1,0.9,0.5,F,1.3,2.1,1.5,1.3,1.7,1.8,1.2,1.2,1.2,F,1.1,0.8,1.0,1.0,F,F,F,1.7,1.3,1.6,1.8,1.7,1.3,1.2,1.2,1.1,1.1,1.0,1.0,1.4,1.3,1.2,F,F,1.2,1.2,1.2,1.3,F,1.2,F,F,0.9,1.5,1.6,1.3,1.3,1.0,F,F,1.1,1.1,1.7,1.7,1.7,F,1.4,1.0,1.5,1.5,1.5,1.4,1.4,0.9,0.9,1.1,1.1,1.0,1.8,1.7,1.0,F,1.4,1.1,1.3,1.5,1.6,1.6,1.4,1.0,1.0,1.2,1.1,1.1,1.0,1.6,F,F,1.0,1.3,1.3,1.3,1.5,1.5,1.4,0.5,0.7,1.1,1.1,1.2,1.5,1.1,F,1.2,F,1.2,1.0,1.0,1.3,1.2,1.4,1.4,1.6,1.4,1.6,1.7,F,1.7,F,0.7,1.0,F,F,F,1.2,1.2,1.2,1.4,1.3,1.5,1.4,1.1,1.4,F,F,F,0.7,0.7,0.6,0.6,1.2,1.2,1.2,1.3,1.5,1.5,1.5,1.1,F,F,F,F,F,0.7,0.7,1.1,1.1,1.3,1.6,1.2,1.2,1.5,1.3,1.5,F,1.5,F,F,0.9,1.0,F,1.0,1.1,1.6,1.6,1.6,1.4,1.4,1.5,1.5,1.5,1.3,1.3,1.5,1.4,1.0,1.0,F,1.4,1.4,1.2,1.2,1.4,1.4,1.2,1.0,1.0,1.4,4.7,4.7,4.2,1.9,1.7,1.7
MOD15A2H.A2009065.h30v12.006.2021123040027.Lai_500m,MOD15A2H,A2009065,Lat-33.6152Lon150.7236Samp17Line17,2021123040027,3.1,3.6,3.6,1.5,2.0,2.1,1.1,1.8,2.1,2.0,2.0,2.0,1.9,2.3,2.4,3.7,1.0,3.3,3.1,1.8,1.4,1.9,2.1,2.1,2.1,1.9,1.8,1.9,1.8,2.3,3.0,1.1,0.9,F,3.0,2.9,1.8,1.9,2.0,2.0,2.0,1.9,1.8,1.9,1.8,2.1,1.8,1.2,2.4,F,1.4,2.9,1.7,1.7,1.7,1.7,1.9,1.9,1.8,1.7,1.7,2.0,2.4,2.2,0.9,1.3,0.8,1.2,1.6,1.5,1.8,1.5,1.4,1.9,1.7,1.7,2.3,1.2,1.0,1.3,0.6,0.8,1.1,1.2,F,1.5,1.6,1.5,1.4,1.8,1.8,1.2,1.4,0.9,2.1,0.7,1.2,0.9,1.3,F,F,F,1.6,1.4,1.6,2.1,2.1,1.5,2.0,1.6,1.0,1.0,1.3,1.0,0.8,1.1,1.1,F,F,0.9,1.5,1.8,1.1,1.1,2.0,F,F,0.9,1.5,1.3,0.9,1.1,1.0,F,F,1.0,1.4,1.2,2.2,1.5,F,1.6,1.5,1.1,1.2,1.3,0.9,1.3,1.5,1.5,1.3,2.0,2.3,2.6,1.4,1.3,F,1.1,0.6,1.1,1.2,1.6,1.6,1.8,1.8,1.6,0.9,2.0,2.3,1.3,1.5,F,F,0.5,0.8,1.1,1.0,1.7,1.7,1.4,1.0,0.9,1.4,3.8,1.5,1.1,1.6,F,0.6,F,0.8,0.8,0.8,0.8,1.0,1.3,0.9,1.0,1.6,4.5,1.5,F,1.6,F,0.7,1.0,F,F,F,1.1,1.0,1.0,1.2,0.8,1.5,1.3,1.1,1.3,F,F,F,0.6,0.1,0.3,0.7,0.9,1.0,1.0,1.4,1.4,1.5,1.6,1.4,F,F,F,F,F,1.0,1.1,0.7,0.9,1.2,1.3,0.9,1.2,1.7,1.4,1.6,F,1.2,F,F,1.0,0.9,F,0.8,1.0,1.9,1.8,1.3,1.0,1.3,1.5,1.3,1.6,1.2,1.2,1.4,1.4,1.0,1.5,F,1.9,2.0,1.3,0.9,1.3,1.1,1.5,0.8,0.8,1.0,3.6,3.7,4.0,1.4,1.8,1.8
MOD15A2H.A2009073.h30v12.006.2021123131915.Lai_500m,MOD15A2H,A2009073,Lat-33.6152Lon150.7236Samp17Line17,2021123131915,4.1,4.5,4.8,2.3,3.0,2.7,1.5,2.5,2.9,2.7,2.7,2.7,2.6,3.8,2.7,2.9,1.2,4.0,4.8,2.7,2.2,2.5,2.8,2.7,2.7,2.4,2.5,2.8,2.8,3.0,2.7,1.5,1.2,F,4.4,4.9,2.2,2.5,2.5,2.7,2.7,2.6,2.6,2.6,2.5,3.0,1.7,1.7,1.8,F,1.9,3.8,2.3,2.3,2.5,2.5,2.6,2.4,2.1,2.1,2.5,2.5,2.8,3.1,1.5,1.6,1.2,1.7,2.3,2.3,2.4,2.3,2.1,2.4,2.1,2.1,2.8,1.3,1.3,1.9,1.0,1.0,1.3,1.5,F,2.2,2.2,2.1,2.1,2.3,2.3,1.6,1.5,1.2,2.3,0.9,1.3,0.9,1.5,F,F,F,2.3,2.1,2.0,2.4,2.4,1.7,2.8,1.8,1.0,1.6,1.6,1.4,1.1,1.6,1.5,F,F,1.9,1.9,2.4,1.5,1.9,2.2,F,F,1.2,2.1,2.0,1.1,1.6,1.4,F,F,1.5,2.1,2.1,1.8,2.3,F,2.0,1.9,1.6,2.1,2.0,1.6,1.7,1.7,1.7,1.6,2.5,2.2,1.8,1.8,1.5,F,1.4,1.4,1.6,1.6,2.3,2.6,2.1,1.9,1.9,1.5,2.5,2.6,1.9,1.9,F,F,0.9,1.4,1.9,1.5,2.2,2.0,1.8,2.2,2.2,1.7,2.8,2.1,1.8,2.4,F,0.9,F,1.2,1.3,1.2,1.3,1.6,1.9,1.7,1.6,2.1,2.3,1.8,F,1.6,F,1.0,1.4,F,F,F,1.4,1.4,1.4,1.8,1.3,1.5,1.8,1.3,1.3,F,F,F,0.7,0.5,1.0,1.4,1.4,1.2,1.4,1.8,1.6,1.6,1.9,1.5,F,F,F,F,F,1.0,1.4,1.0,1.1,1.6,2.0,1.3,1.3,2.0,1.6,2.1,F,1.4,F,F,1.1,1.0,F,1.0,1.1,2.0,2.0,1.9,1.4,1.8,1.9,1.8,1.9,1.4,1.3,1.3,1.2,1.1,1.2,F,1.6,1.9,1.3,1.4,1.3,1.4,1.9,1.3,1.2,1.5,3.3,3.6,3.6,1.4,1.7,2.3
MOD15A2H.A2009081.h30v12.006.2021124015310.Lai_500m,MOD15A2H,A2009081,Lat-33.6152Lon150.7236Samp17Line17,2021124015310,3.7,4.1,4.4,2.1,2.8,3.0,1.5,2.5,3.0,2.9,2.7,2.5,2.6,3.7,3.8,3.0,1.4,4.0,4.9,2.7,1.8,2.8,2.8,2.8,2.6,2.5,2.6,2.7,2.6,3.2,3.0,1.6,1.4,F,3.7,4.0,2.3,2.6,2.6,2.7,2.7,2.6,2.6,2.7,2.4,2.9,1.7,1.7,2.0,F,1.9,3.8,2.3,2.6,2.2,2.5,2.7,2.7,2.2,2.3,2.8,2.4,3.0,3.2,1.9,1.4,1.0,1.6,2.4,1.9,2.7,1.9,2.3,2.7,2.3,2.3,3.0,1.5,1.4,1.4,1.3,1.0,1.5,1.2,F,2.2,2.4,2.0,1.9,2.2,2.3,1.6,1.6,1.3,2.4,1.0,1.4,1.0,1.2,F,F,F,2.2,2.0,2.3,2.5,2.9,1.5,3.0,2.0,0.8,1.2,1.4,1.2,1.2,1.5,1.4,F,F,1.7,1.8,2.4,1.6,2.3,2.0,F,F,1.1,1.9,1.9,1.4,1.5,1.3,F,F,1.5,2.3,2.2,2.7,2.2,F,2.0,2.0,1.7,1.9,1.9,1.8,1.7,1.7,1.6,2.1,2.6,2.8,1.8,1.9,1.5,F,1.5,1.3,1.6,1.5,1.8,2.5,1.9,2.3,1.6,1.5,2.7,3.6,1.6,1.9,F,F,1.5,1.6,1.8,1.6,2.2,1.9,1.9,2.3,2.0,1.7,2.7,2.0,1.5,2.1,F,1.1,F,1.5,1.2,0.9,1.0,1.5,1.9,1.1,1.3,1.5,1.8,2.4,F,1.5,F,0.9,1.2,F,F,F,1.2,1.2,1.4,1.7,1.0,1.6,1.8,1.1,1.1,F,F,F,0.9,0.3,0.6,1.2,1.6,1.3,1.2,1.7,1.7,1.6,1.7,1.1,F,F,F,F,F,1.6,1.0,1.0,1.1,1.6,1.8,1.3,1.2,1.5,1.4,2.1,F,1.6,F,F,1.1,1.0,F,0.8,1.2,2.0,1.7,1.8,1.2,1.7,2.0,1.9,1.7,1.4,1.2,1.1,1.2,1.2,1.3,F,1.8,1.9,1.2,1.3,1.3,1.3,1.5,0.9,1.2,1.4,3.7,2.5,2.5,1.2,1.6,2.4
MOD15A2H.A2009089.h30v12.006.2021124233145.Lai_500m,MOD15A2H,A2009089,Lat-33.6152Lon150.7236Samp17Line17,2021124233145,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.6,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,F,F,F,F,F,F,F,F,0.3,F,F,0.5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,0.6,F,F,F,F,F,0.2,F,F,F,F,F,F,F,F,F,0.6,F,0.2,0.2,0.2,0.2,0.2,0.5,F,F,F,F,F,0.2,0.3,F,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.3,F,F,F,F,F,0.3,0.2,0.3,0.4,F,F,0.2,0.2,F,0.2,0.3,0.7,F,F,F,F,F,0.2,0.2,F,F,F,F,F,F,0.3,F,0.8,F,F,F,F,F,F,0.7,F,F,0.3,F,F,0.4,0.2,0.6,F,F,F,F,F,0.2,0.7,0.7,0.5,0.3,0.3,0.3,0.1,0.4,0.2,F,F,F,F,F,0.3,0.4,0.7,0.5,0.6,0.2,F,F,0.1,0.3,1.0,F,1.3,F,F,0.8,1.0,F,0.4,0.3,0.3,0.2,F,F,0.2,0.9,1.8,1.3,0.3,0.2,0.8,0.8,0.9,1.2,F,0.5,0.4,0.2,F,0.2,0.5,0.6,1.5,1.5,0.3,0.3,0.2,1.3,1.2,1.4,1.5
MOD15A2H.A2009097.h30v12.006.2021125064334.Lai_500m,MOD15A2H,A2009097,Lat-33.6152Lon150.7236Samp17Line17,2021125064334,F,F,6.5,1.2,1.6,1.6,1.0,3.8,3.5,3.1,2.8,3.1,3.0,3.2,3.2,2.9,1.4,2.4,6.5,1.4,1.2,5.2,3.3,3.4,3.1,3.1,2.8,3.0,3.2,3.1,3.9,2.0,1.4,F,2.4,5.2,3.8,4.2,3.1,3.0,3.1,2.9,3.0,2.8,2.8,3.5,2.0,2.0,3.1,F,2.1,2.4,2.8,3.0,2.5,2.9,2.8,2.9,2.8,1.6,2.8,3.0,3.9,3.2,1.3,1.9,1.0,1.5,2.6,2.3,3.0,2.3,2.4,2.8,2.4,2.7,3.2,1.6,1.5,2.6,1.3,1.3,1.4,1.5,F,2.1,2.4,2.3,1.6,2.3,2.7,1.8,1.7,1.5,2.5,1.2,1.4,0.9,1.4,F,F,F,2.4,1.6,2.7,3.0,3.3,1.7,3.3,1.4,0.8,1.2,1.3,0.9,1.0,1.4,1.3,F,F,1.7,1.6,2.3,1.4,2.7,2.4,F,F,1.1,1.9,1.6,1.0,1.7,1.3,F,F,1.5,1.5,2.4,2.7,1.9,F,1.5,1.9,1.1,1.9,1.9,1.6,1.9,1.7,1.7,1.3,1.6,1.7,1.2,2.1,1.4,F,1.5,1.4,1.6,1.2,2.0,2.4,1.9,2.2,1.4,1.2,2.4,3.4,1.5,2.3,F,F,0.7,1.0,2.0,1.6,2.2,1.9,2.5,2.2,1.4,1.4,2.4,1.5,1.3,2.3,F,1.3,F,0.8,1.1,0.8,1.0,1.0,1.9,1.0,1.4,1.2,1.9,2.9,F,1.1,F,0.6,0.8,F,F,F,1.6,1.0,1.0,1.9,1.0,1.2,1.9,1.0,1.1,F,F,F,0.8,0.5,0.9,0.9,1.6,1.0,1.0,1.8,1.8,1.7,2.0,1.3,F,F,F,F,F,1.6,1.6,0.9,1.4,1.9,2.1,1.3,1.3,1.7,1.7,2.2,F,1.4,F,F,1.1,1.1,F,0.9,1.6,2.0,2.4,1.9,1.1,1.9,2.2,2.1,1.8,1.5,1.3,1.2,0.9,1.0,1.0,F,2.0,2.0,1.0,1.1,1.2,1.3,1.9,1.3,1.2,1.5,2.5,2.7,2.6,1.0,1.7,1.5
MOD15A2H.A2009105.h30v12.006.2021126204156.Lai_500m,MOD15A2H,A2009105,Lat-33.6152Lon150.7236Samp17Line17,2021126204156,3.3,4.7,3.9,1.8,2.4,2.9,1.4,2.8,2.3,2.3,2.2,2.2,2.0,2.4,2.6,3.1,1.2,4.5,4.0,2.0,2.2,2.2,2.4,3.4,2.3,2.1,2.1,2.4,2.4,2.4,3.0,1.3,1.0,F,3.4,4.9,1.9,2.1,2.4,2.2,2.2,2.2,2.2,2.1,2.4,2.6,1.4,1.4,2.0,F,1.5,4.9,1.9,2.1,2.1,2.2,2.2,2.1,1.9,2.1,2.5,2.5,2.2,2.2,2.0,1.5,0.9,1.1,2.1,2.1,2.6,2.1,1.8,1.8,1.9,1.8,2.1,1.2,1.2,2.2,1.2,1.2,1.4,1.0,F,1.7,1.9,1.7,1.8,1.8,1.9,1.3,1.5,1.2,2.1,1.1,1.0,0.9,1.1,F,F,F,1.8,1.7,1.7,1.9,2.5,1.7,1.9,1.9,1.2,1.0,1.2,1.2,1.1,1.1,1.2,F,F,1.5,1.2,1.9,1.2,2.0,1.6,F,F,1.0,1.6,1.3,1.2,1.2,1.0,F,F,1.2,2.4,1.6,1.8,1.8,F,1.7,1.6,1.6,1.7,1.6,1.4,1.6,1.4,1.4,1.2,F,F,1.5,2.1,1.2,F,1.6,1.3,1.6,1.6,1.7,2.1,1.8,1.8,1.6,1.2,2.3,2.4,1.4,2.2,F,F,1.0,1.2,1.6,1.4,1.6,1.6,1.9,1.7,1.6,1.6,1.7,1.2,1.7,1.6,F,1.0,F,1.3,1.1,1.3,1.3,1.2,1.4,1.0,1.3,1.3,1.6,2.0,F,1.5,F,1.0,1.0,F,F,F,0.9,1.1,1.2,1.5,1.0,1.3,1.5,1.2,1.2,F,F,F,0.3,0.3,0.6,1.0,1.2,1.1,1.2,1.4,1.3,1.3,1.5,1.4,F,F,F,F,F,1.3,1.1,1.0,1.3,1.5,1.6,1.1,1.3,1.6,1.4,1.7,F,1.2,F,F,0.9,0.9,F,0.8,1.0,1.6,1.6,1.6,1.4,1.5,1.6,1.6,1.6,1.5,1.5,1.0,1.0,0.9,1.0,F,1.6,1.6,1.1,1.4,1.3,1.2,1.6,1.1,1.3,1.2,2.4,2.3,3.0,1.1,1.3,1.9
MOD15A2H.A2009113.h30v12.006.2021127084956.Lai_500m,MOD15A2H,A2009113,Lat-33.6152Lon150.7236Samp17Line17,2021127084956,F,6.9,6.9,1.8,2.2,2.2,1.4,2.4,2.2,2.0,2.1,2.1,2.0,2.3,2.4,2.2,1.2,6.3,6.4,2.2,1.8,2.0,2.2,2.0,2.2,2.0,1.9,2.2,2.2,2.3,2.2,1.3,1.1,F,6.5,6.5,1.8,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.3,2.3,1.5,1.2,1.5,F,2.3,4.1,1.9,1.9,1.8,2.0,2.0,2.0,1.8,1.8,2.0,2.3,2.0,2.0,1.5,1.4,0.9,1.0,1.9,1.7,2.1,1.9,1.7,1.8,1.7,1.8,1.8,1.1,1.1,1.3,1.1,1.1,1.0,1.1,F,1.6,2.0,1.7,1.7,1.7,1.9,1.2,1.3,1.1,1.9,1.0,1.1,0.8,1.1,F,F,F,1.5,1.8,2.1,2.3,2.0,1.4,1.6,1.9,0.9,0.9,1.2,0.9,1.1,1.0,1.1,F,F,1.1,1.3,1.9,1.1,1.7,1.6,F,F,0.9,1.8,2.0,1.0,1.1,1.1,F,F,1.0,1.5,1.5,1.7,1.4,F,2.6,1.4,1.8,1.7,1.6,1.8,1.6,1.6,1.6,1.2,3.7,3.7,1.2,2.1,1.0,F,1.7,1.1,1.5,1.5,2.1,2.1,1.6,1.6,1.6,1.4,2.3,2.3,1.5,1.6,F,F,0.9,1.2,1.5,1.4,1.7,2.0,1.8,1.5,2.0,2.3,2.3,1.6,2.1,1.5,F,0.8,F,1.3,1.1,1.0,1.4,1.2,1.6,1.0,1.2,1.3,2.3,1.8,F,1.3,F,1.0,0.9,F,F,F,1.2,1.1,1.4,1.6,1.1,1.3,1.5,1.0,1.0,F,F,F,0.6,0.5,0.7,1.2,1.3,1.2,1.2,1.6,1.4,1.4,1.4,1.3,F,F,F,F,F,0.9,1.1,1.0,1.2,1.8,1.6,1.2,1.1,1.4,1.5,1.5,F,1.1,F,F,0.8,1.0,F,1.0,1.1,1.8,2.0,1.9,1.2,1.2,1.6,1.5,1.2,1.2,1.0,0.8,1.0,0.8,1.1,F,1.5,1.6,1.2,1.2,1.2,1.3,1.2,1.0,0.9,1.2,1.4,1.8,2.7,1.1,1.1,1.6
MOD15A2H.A2009121.h30v12.006.2021129232412.Lai_500m,MOD15A2H,A2009121,Lat-33.6152Lon150.7236Samp17Line17,2021129232412,3.4,3.4,6.5,1.9,2.2,2.2,1.2,2.1,2.2,2.3,2.2,2.1,2.2,2.4,2.8,2.5,1.0,3.3,5.0,2.4,1.7,2.2,2.3,2.2,2.3,2.1,2.1,2.1,2.2,2.4,2.2,1.2,1.2,F,3.3,3.3,1.9,2.1,2.3,2.1,2.1,2.1,2.2,2.3,2.1,2.2,1.4,1.3,2.2,F,1.5,3.3,1.7,2.1,1.9,2.1,2.0,2.1,2.1,1.8,2.1,2.3,2.1,2.2,1.8,1.6,0.8,1.0,1.8,2.1,2.0,1.7,1.7,1.8,1.8,2.0,2.0,1.1,1.1,1.4,1.1,1.3,1.1,1.0,F,1.7,2.0,1.7,1.6,1.7,2.1,1.5,1.2,1.2,1.6,1.2,1.3,1.0,1.2,F,F,F,1.8,2.0,1.7,1.9,2.1,1.5,2.5,1.6,1.0,0.9,1.3,1.0,1.1,0.9,1.1,F,F,1.2,1.2,1.9,1.1,1.7,1.6,F,F,0.8,1.9,1.8,1.0,1.0,0.9,F,F,1.1,2.2,1.6,1.7,1.3,F,1.5,1.6,1.5,1.3,1.5,1.6,1.3,1.3,1.0,1.4,1.3,1.9,1.3,1.7,1.1,F,1.5,1.2,1.4,1.5,1.8,1.8,1.3,1.4,1.4,1.3,2.1,2.1,1.2,1.7,F,F,0.6,0.9,1.3,1.2,1.8,1.8,1.8,1.4,1.3,1.0,1.6,1.3,1.7,1.4,F,0.8,F,1.2,0.8,1.2,1.2,1.1,1.4,0.9,1.2,1.4,1.7,2.0,F,1.2,F,0.8,1.0,F,F,F,1.2,1.0,1.2,1.4,0.9,1.2,1.3,0.8,1.3,F,F,F,0.6,0.5,0.6,1.0,1.2,1.0,1.2,1.4,1.2,1.3,1.5,1.3,F,F,F,F,F,1.0,1.0,0.8,1.2,1.6,1.7,1.1,1.0,1.4,1.4,1.6,F,1.2,F,F,0.9,0.8,F,0.9,1.0,1.5,1.7,1.5,1.2,1.4,1.6,1.5,1.4,1.1,1.0,0.9,0.9,0.9,1.0,F,1.5,1.5,1.1,1.0,1.2,1.3,1.4,1.0,0.9,1.2,F,2.3,2.6,1.0,1.6,1.5
MOD15A2H.A2009129.h30v12.006.2021133000857.Lai_500m,MOD15A2H,A2009129,Lat-33.6152Lon150.7236Samp17Line17,2021133000857,3.3,6.5,6.9,1.7,2.2,2.1,1.2,2.1,2.2,2.2,2.1,1.9,2.0,2.5,2.1,2.0,1.1,6.5,6.9,2.2,1.8,2.0,2.0,2.1,2.2,1.9,2.0,1.9,2.0,2.3,2.4,1.2,1.1,F,6.5,6.5,1.9,1.9,2.2,2.0,2.0,1.8,2.2,2.1,1.9,2.2,1.4,1.2,2.0,F,1.5,3.3,1.8,1.9,1.9,1.9,2.1,2.0,2.1,1.8,1.9,1.7,2.2,2.4,1.6,1.6,0.8,1.0,2.0,1.7,2.0,1.8,1.6,1.8,1.8,1.8,1.9,0.9,1.1,1.6,1.1,1.2,1.1,0.8,F,1.7,1.7,1.6,1.6,1.8,1.8,1.2,1.2,0.9,1.5,1.0,0.9,0.9,1.0,F,F,F,1.5,1.6,1.5,1.8,2.1,1.2,1.9,1.8,0.8,1.0,1.1,0.9,0.9,0.9,1.0,F,F,1.4,1.5,1.9,1.1,1.4,1.5,F,F,0.9,1.6,1.6,1.0,0.9,0.8,F,F,1.0,1.8,1.5,1.5,1.8,F,1.3,1.6,1.4,1.6,1.6,1.5,1.3,1.0,1.2,1.6,2.1,2.2,2.0,1.3,1.0,F,1.2,1.2,1.3,1.5,1.3,1.8,1.4,1.3,1.4,1.1,1.8,2.1,1.1,1.5,F,F,0.9,1.0,1.3,1.2,1.7,1.7,1.5,1.1,1.2,1.4,1.6,1.2,1.6,1.4,F,0.7,F,1.0,1.0,1.2,1.0,1.0,1.5,1.0,1.1,1.5,1.8,1.6,F,1.2,F,0.8,1.0,F,F,F,1.0,1.0,1.2,1.3,0.9,1.3,1.4,1.0,0.9,F,F,F,0.6,0.6,0.8,0.8,1.0,1.1,1.2,1.4,1.4,1.4,1.4,1.2,F,F,F,F,F,1.1,1.3,1.0,1.1,1.5,1.5,1.1,1.0,1.5,1.3,1.5,F,1.0,F,F,0.7,0.7,F,1.0,1.1,1.7,1.5,1.5,1.1,1.2,1.6,1.5,1.4,1.1,1.0,1.0,0.9,1.1,1.3,F,1.6,1.6,1.2,1.0,1.1,1.2,1.3,0.9,0.9,1.1,2.5,2.5,2.8,1.0,1.2,1.6
