MOD15A2H.A2000049.h30v12.006.2020041210828.Fpar_500m,MOD15A2H,A2000049,Lat-33.6152Lon150.7236Samp17Line17,2020041210828,F,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,0.15,0.25,F,F,F,F,F,F,F,F,F,F,F,F,0.13,0.15,F,F,F,F,F,F,F,F,F,F,F,0.06,0.06,0.15,0.13,0.13,F,F,F,0.36,F,F,F,F,F,F,F,0.06,0.15,0.23,0.17,0.25,F,0.2,0.36,0.24,0.24,F,F,F,F,F,F,F,F,F,F,0.25,F,0.15,0.29,0.29,0.31,F,F,F,F,F,F,F,0.08,F,F,F,0.25,0.25,0.25,0.29,F,F,F,F,F,F,F,F,F,F,F,0.25,0.25,0.25,0.37,0.42,0.42,0.28,F,F,F,F,F,F,F,F,F,F,0.25,0.35,0.44,0.42,F,F,F,F,F,F,F,F,F,F,0.22,0.23,0.35,0.35,0.35,F,F,F,F,F,F,F,F,F,F,F,0.22,0.22,0.35,0.35,0.35,F,F,0.4,0.4,0.36,F,F,F,F,F,F,0.21,0.35,0.35,0.34,F,F,F,0.47,0.4,F,F,0.38,0.47,0.47,F,0.21,F,0.25,0.28,0.28,F,F,0.44,0.47,0.44,0.31,0.31,F,F,0.47,F,0.22,0.25,F,F,F,0.28,0.29,0.29,0.32,0.35,0.31,0.31,F,F,F,F,F,0.22,0.23,F,F,0.29,0.29,0.29,F,F,F,F,F,F,F,F,F,F,F,F,F,0.29,0.25,0.25,0.39,F,F,F,F,F,0.13,F,F,0.28,0.28,F,0.45,0.45,0.25,0.36,0.36,0.39,F,F,F,0.13,0.13,0.25,0.25,0.25,F,F,F,0.45,0.58,0.59,0.59,F,F,F,F,F,F,F,F,F,F,F,F
MOD15A2H.A2010281.h30v12.006.2021176103908.Fpar_500m,MOD15A2H,A2010281,Lat-33.6152Lon150.7236Samp17Line17,2021176103908,0.87,0.87,0.88,0.69,0.64,0.61,0.55,0.62,0.61,0.6,0.78,0.61,0.7,0.73,0.62,0.59,0.43,0.88,0.88,0.65,0.66,0.63,0.64,0.61,0.6,0.6,0.64,0.68,0.7,0.7,0.62,0.55,0.55,F,0.88,0.88,0.61,0.63,0.64,0.64,0.62,0.62,0.62,0.69,0.69,0.63,0.54,0.57,0.54,F,0.53,0.88,0.61,0.61,0.61,0.62,0.63,0.62,0.58,0.64,0.69,0.65,0.34,0.35,0.54,0.54,0.48,0.39,0.59,0.59,0.63,0.62,0.62,0.67,0.6,0.64,0.61,0.6,0.6,0.48,0.47,0.44,0.51,0.35,F,0.59,0.63,0.65,0.6,0.67,0.66,0.55,0.6,0.54,0.58,0.55,0.58,0.4,0.51,F,F,F,0.63,0.65,0.6,0.63,0.63,0.66,0.59,0.59,0.62,0.62,0.64,0.45,0.53,0.54,0.52,F,F,0.52,0.6,0.18,0.64,0.63,0.59,F,F,0.55,0.59,0.5,0.55,0.54,0.47,F,F,0.48,0.68,0.66,0.35,0.67,F,0.6,0.57,0.51,0.59,0.5,0.55,0.6,0.6,0.32,0.51,0.39,0.39,0.66,0.67,0.64,F,0.38,0.48,0.51,0.48,0.55,0.55,0.54,0.6,0.2,F,0.44,0.44,0.66,0.51,F,F,0.37,0.39,0.51,0.54,0.55,0.55,0.55,0.47,0.47,0.61,0.7,0.66,0.52,0.53,F,0.32,F,0.43,0.42,0.51,0.49,0.49,0.51,0.48,0.37,0.62,0.4,0.37,F,0.45,F,0.38,0.33,F,F,F,0.52,0.54,0.54,0.37,0.36,0.46,0.46,0.38,0.42,F,F,F,0.33,0.16,0.16,0.44,0.52,0.54,0.54,0.53,0.5,0.5,0.54,0.6,F,F,F,F,F,0.46,0.16,0.44,0.46,0.49,0.52,0.51,0.5,0.5,0.6,0.68,F,0.42,F,F,0.35,0.35,F,0.38,0.3,0.47,0.52,0.47,0.46,0.62,0.48,0.68,0.53,0.42,0.42,0.42,0.42,0.42,0.47,F,0.3,0.47,0.46,0.47,0.46,0.44,0.48,0.46,0.43,0.42,0.77,0.74,0.35,0.49,0.57,0.58
MOD15A2H.A2010289.h30v12.006.2021176132703.Fpar_500m,MOD15A2H,A2010289,Lat-33.6152Lon150.7236Samp17Line17,2021176132703,0.86,0.88,0.88,0.65,0.69,0.68,0.57,0.66,0.69,0.68,0.6,0.58,0.63,0.7,0.64,0.6,0.55,0.87,0.88,0.69,0.65,0.68,0.65,0.64,0.63,0.63,0.63,0.58,0.6,0.7,0.71,0.59,0.54,F,0.88,0.89,0.67,0.64,0.65,0.65,0.67,0.62,0.63,0.61,0.62,0.68,0.53,0.62,0.68,F,0.57,0.86,0.63,0.61,0.65,0.67,0.66,0.65,0.67,0.6,0.62,0.69,0.69,0.74,0.55,0.55,0.44,0.57,0.64,0.61,0.68,0.64,0.61,0.68,0.64,0.59,0.66,0.55,0.63,0.72,0.49,0.51,0.5,0.57,F,0.61,0.68,0.61,0.61,0.6,0.65,0.62,0.53,0.55,0.67,0.51,0.61,0.47,0.49,F,F,F,0.6,0.61,0.61,0.7,0.7,0.62,0.76,0.56,0.53,0.55,0.5,0.47,0.49,0.56,0.49,F,F,0.61,0.63,0.64,0.64,0.58,0.65,F,F,0.5,0.61,0.56,0.46,0.51,0.45,F,F,0.55,0.54,0.64,0.68,0.59,F,0.55,0.56,0.55,0.56,0.57,0.59,0.58,0.58,0.55,0.7,0.6,0.71,0.59,0.67,0.58,F,0.35,0.52,0.48,0.53,0.56,0.61,0.54,0.58,0.63,0.62,0.75,0.76,0.63,0.52,F,F,0.33,0.42,0.52,0.5,0.55,0.53,0.57,0.57,0.51,0.53,0.79,0.63,0.48,0.5,F,0.31,F,0.5,0.44,0.4,0.51,0.45,0.53,0.44,0.45,0.44,0.78,0.72,F,0.35,F,0.36,0.48,F,F,F,0.45,0.46,0.51,0.51,0.42,0.44,0.44,0.34,0.37,F,F,F,0.29,0.33,0.33,0.45,0.52,0.46,0.45,0.46,0.51,0.5,0.54,0.46,F,F,F,F,F,0.45,0.48,0.45,0.51,0.54,0.52,0.45,0.44,0.51,0.54,0.56,F,0.41,F,F,0.41,0.37,F,0.41,0.46,0.56,0.51,0.51,0.44,0.56,0.56,0.53,0.48,0.43,0.38,0.41,0.4,0.41,0.45,F,0.54,0.58,0.48,0.46,0.49,0.47,0.45,0.36,0.4,0.41,0.66,0.65,0.63,0.36,0.42,0.53
MOD15A2H.A2010297.h30v12.006.2021176155505.Fpar_500m,MOD15A2H,A2010297,Lat-33.6152Lon150.7236Samp17Line17,2021176155505,0.86,0.87,0.87,0.67,0.71,0.71,0.59,0.67,0.68,0.71,0.63,0.63,0.66,0.71,0.64,0.67,0.52,0.88,0.89,0.71,0.67,0.69,0.69,0.69,0.65,0.65,0.63,0.62,0.63,0.63,0.69,0.6,0.52,F,0.89,0.89,0.68,0.69,0.68,0.66,0.62,0.62,0.65,0.62,0.61,0.69,0.6,0.58,0.69,F,0.61,0.86,0.64,0.63,0.63,0.66,0.68,0.63,0.62,0.59,0.61,0.65,0.68,0.7,0.61,0.57,0.48,0.58,0.63,0.63,0.63,0.66,0.62,0.66,0.61,0.59,0.68,0.61,0.58,0.5,0.53,0.54,0.53,0.58,F,0.63,0.66,0.61,0.58,0.66,0.61,0.52,0.6,0.6,0.61,0.54,0.47,0.47,0.49,F,F,F,0.58,0.57,0.58,0.63,F,0.61,0.72,0.63,0.57,0.54,0.64,0.52,0.46,0.51,0.51,F,F,0.59,0.61,F,0.59,0.62,0.64,F,F,0.51,0.55,0.56,0.57,0.51,0.44,F,F,0.54,0.64,0.61,0.59,0.68,F,0.59,0.55,0.5,0.45,0.56,0.57,0.59,0.55,0.54,0.54,0.68,0.68,0.57,0.68,0.6,F,0.52,0.52,0.51,0.56,0.6,0.59,0.56,0.59,0.57,0.61,0.72,0.78,0.62,0.65,F,F,0.34,0.43,0.51,0.52,0.6,0.57,0.59,0.53,0.57,0.6,0.72,0.65,0.41,0.38,F,0.31,F,0.43,0.46,0.48,0.46,0.49,0.57,0.51,0.52,0.62,0.63,0.46,F,0.38,F,0.41,0.43,F,F,F,0.47,0.47,0.52,0.5,0.43,0.5,0.51,0.36,0.39,F,F,F,0.32,0.32,0.27,0.45,0.48,0.52,0.52,0.53,0.54,0.51,0.6,0.42,F,F,F,F,F,0.45,0.47,0.45,0.48,0.52,0.52,0.47,0.46,0.51,0.54,0.6,F,0.45,F,F,0.42,0.39,F,0.41,0.45,0.57,0.5,0.51,0.46,0.56,0.55,0.51,0.45,0.45,0.44,0.42,0.41,0.44,0.44,F,0.57,0.57,0.47,0.46,0.51,0.46,0.51,0.37,0.39,0.41,0.67,0.67,0.66,0.38,0.51,0.51
MOD15A2H.A2010305.h30v12.006.2021176185646.Fpar_500m,MOD15A2H,A2010305,Lat-33.6152Lon150.7236Samp17Line17,2021176185646,0.88,0.88,0.88,0.7,0.71,0.69,0.59,0.65,F,0.68,0.63,0.63,0.63,F,0.7,0.65,0.55,0.88,0.88,0.7,0.64,0.69,0.67,0.65,0.61,0.61,0.64,0.63,0.63,0.69,F,0.61,0.55,F,0.86,0.89,0.68,0.66,0.64,0.64,0.66,0.64,0.64,0.62,0.62,0.67,0.59,0.61,0.6,F,0.61,0.88,0.63,0.63,0.61,0.66,0.66,0.65,0.61,0.61,0.61,0.67,F,F,0.59,0.59,0.58,0.61,0.64,0.61,0.65,0.65,0.65,0.63,0.6,0.61,F,0.61,0.62,0.58,0.56,0.58,0.61,0.64,F,0.61,0.64,0.62,0.59,0.63,0.6,0.58,0.58,0.58,0.57,0.48,0.48,0.47,0.54,F,F,F,0.61,0.59,0.59,0.63,0.63,0.64,0.67,F,0.54,0.61,0.61,0.52,0.54,0.52,0.52,F,F,0.62,0.62,F,0.61,0.65,0.67,F,F,0.54,0.58,0.58,0.6,0.6,0.54,F,F,0.55,0.59,0.62,0.68,0.61,F,0.62,0.58,0.58,0.52,0.56,0.6,0.6,0.53,0.54,0.53,F,F,0.61,0.68,0.57,F,0.48,0.53,0.5,0.52,0.52,0.59,0.62,0.61,0.54,0.59,F,F,0.58,0.55,F,F,0.48,0.46,0.52,0.52,0.55,0.62,0.62,0.61,0.64,0.64,0.69,0.53,0.65,0.61,F,0.41,F,0.41,0.52,0.5,0.51,0.49,0.52,0.49,0.61,0.63,0.62,0.64,F,0.46,F,0.46,0.45,F,F,F,0.48,0.5,0.5,0.54,0.48,0.47,0.47,0.45,0.46,F,F,F,0.32,0.37,0.39,0.51,0.51,0.5,0.5,0.51,0.48,0.52,0.52,0.56,F,F,F,F,F,0.4,0.4,0.41,0.45,0.52,0.52,0.5,0.52,0.53,0.54,0.53,F,0.45,F,F,0.4,0.4,F,0.45,0.45,0.54,0.52,0.51,0.52,0.54,0.57,0.52,0.48,0.44,0.41,0.41,0.4,0.4,0.48,F,0.54,0.54,0.53,0.49,0.49,0.5,0.47,0.42,0.41,0.44,0.76,0.74,0.76,0.41,0.6,0.6
MOD15A2H.A2010313.h30v12.006.2021177040738.Fpar_500m,MOD15A2H,A2010313,Lat-33.6152Lon150.7236Samp17Line17,2021177040738,0.76,F,0.87,0.63,0.7,0.73,0.58,0.69,0.74,0.72,0.67,0.65,0.7,0.77,0.69,0.69,0.55,F,0.85,0.64,0.65,0.73,0.76,0.7,0.68,0.63,0.67,0.66,0.69,0.63,0.78,0.65,0.58,F,0.85,0.85,0.71,0.76,0.71,0.69,0.68,0.63,0.67,0.64,0.64,0.7,0.59,0.65,0.67,F,0.72,0.85,0.66,0.64,0.66,0.72,0.68,0.69,0.65,0.6,0.73,0.75,0.8,0.66,0.69,0.57,0.55,0.66,0.67,0.64,0.68,0.66,0.65,0.69,0.63,0.64,0.72,0.64,0.65,0.59,0.59,0.56,0.52,0.52,F,0.64,0.68,0.65,0.64,0.66,0.65,0.59,0.64,0.58,0.63,0.55,0.54,0.47,0.49,F,F,F,0.63,0.63,0.65,0.69,0.66,0.65,0.47,0.66,0.52,0.53,0.58,0.55,0.51,0.5,0.5,F,F,0.66,0.61,0.71,0.62,0.69,0.63,F,F,0.46,0.58,0.58,0.49,0.49,0.4,F,F,0.59,0.6,0.67,0.64,0.64,F,0.57,0.51,0.55,0.51,0.53,0.53,0.53,0.52,0.53,0.57,0.62,0.74,0.6,0.62,0.59,F,0.53,0.53,0.52,0.52,0.58,0.58,0.6,0.6,0.55,0.57,0.72,0.72,0.58,0.54,F,F,0.42,0.44,0.5,0.5,0.59,0.58,0.58,0.59,0.59,0.7,0.79,0.6,0.3,0.63,F,0.38,F,0.5,0.49,0.46,0.45,0.45,0.55,0.59,0.53,0.53,0.52,0.71,F,0.39,F,0.38,0.37,F,F,F,0.45,0.49,0.51,0.52,0.45,0.47,0.51,0.53,0.39,F,F,F,0.28,0.12,0.43,0.52,0.51,0.5,0.51,0.51,0.5,0.47,0.51,0.44,F,F,F,F,F,0.49,0.29,0.37,0.42,0.53,0.53,0.51,0.51,0.56,0.54,0.56,F,0.38,F,F,0.45,0.38,F,0.41,0.44,0.55,0.52,0.51,0.49,0.51,0.58,0.54,0.47,0.41,0.38,0.43,0.39,0.41,0.51,F,0.57,0.58,0.52,0.49,0.49,0.46,0.46,0.41,0.41,0.41,0.81,0.81,0.77,0.4,0.43,0.66
MOD15A2H.A2010321.h30v12.006.2021177144349.Fpar_500m,MOD15A2H,A2010321,Lat-33.6152Lon150.7236Samp17Line17,2021177144349,0.88,0.89,0.89,0.75,0.49,0.49,0.64,0.76,0.78,0.72,0.68,0.68,0.67,0.75,F,0.61,0.55,0.88,0.9,0.72,0.71,0.45,0.45,0.71,0.67,0.67,0.7,0.81,0.7,0.75,0.37,0.67,0.66,F,0.88,0.89,0.71,0.57,0.67,0.67,0.7,0.67,0.69,0.73,0.7,0.52,0.65,0.66,0.7,F,0.72,0.89,0.67,0.68,0.68,0.59,0.67,0.67,0.63,0.73,0.68,0.78,0.82,0.55,0.65,0.56,0.58,0.64,0.67,0.64,0.4,0.66,0.62,0.4,0.62,0.69,0.69,0.59,0.59,0.55,0.47,0.57,0.54,0.58,F,0.64,0.4,0.65,0.61,0.4,0.62,0.65,0.64,0.61,0.55,0.42,0.53,0.49,0.52,F,F,F,0.64,0.62,0.61,0.73,F,0.63,0.64,0.68,0.54,0.54,0.57,0.56,0.47,0.48,0.48,F,F,0.67,0.61,0.69,0.63,0.75,0.64,F,F,0.52,0.62,0.53,0.48,0.48,0.47,F,F,0.55,0.64,0.61,0.65,0.66,F,0.7,0.58,0.54,0.5,0.53,0.48,0.51,0.51,0.53,0.67,0.67,0.59,0.61,0.65,0.61,F,0.66,0.45,0.55,0.5,0.62,0.62,0.56,0.57,0.57,0.55,0.67,0.63,0.55,0.63,F,F,0.53,0.46,0.55,0.53,0.6,0.6,0.59,0.57,0.55,0.57,0.71,0.62,0.53,0.6,F,0.38,F,0.49,0.45,0.45,0.46,0.55,0.7,0.56,0.6,0.56,0.49,0.6,F,0.46,F,0.41,0.46,F,F,F,0.52,0.49,0.48,0.55,0.51,0.6,0.53,0.37,0.44,F,F,F,0.25,0.26,0.35,0.53,0.53,0.55,0.51,0.53,0.51,0.54,0.59,0.57,F,F,F,F,F,0.41,0.46,0.51,0.47,0.56,0.51,0.48,0.47,0.6,0.56,0.62,F,0.47,F,F,0.45,0.44,F,0.47,0.47,0.56,0.55,0.55,0.53,0.54,0.59,0.54,0.5,0.44,0.44,0.43,0.4,0.41,0.45,F,0.56,0.56,0.53,0.49,0.48,0.52,0.54,0.41,0.41,0.46,0.75,0.75,0.63,0.43,0.6,0.62
MOD15A2H.A2010329.h30v12.006.2021177210912.Fpar_500m,MOD15A2H,A2010329,Lat-33.6152Lon150.7236Samp17Line17,2021177210912,0.88,0.78,F,F,0.69,0.66,0.54,0.64,0.64,0.61,0.6,0.58,0.64,0.64,0.7,0.7,0.52,0.79,0.82,0.66,0.61,0.64,0.69,0.63,0.64,0.61,0.6,0.6,0.6,0.71,0.75,0.63,0.52,F,0.89,0.82,0.54,0.65,0.69,0.63,0.59,0.59,0.64,0.52,0.62,0.63,0.63,0.58,0.71,F,0.55,0.82,0.54,0.65,0.64,0.64,0.65,0.61,0.53,0.52,0.62,0.62,0.66,0.65,0.54,0.52,0.43,0.53,0.5,0.55,0.62,0.6,0.57,0.61,0.53,0.6,0.63,0.54,0.52,0.59,0.44,0.51,0.49,0.45,F,0.54,0.6,0.6,0.56,0.58,0.58,0.52,0.58,0.46,0.58,0.44,0.59,0.44,0.49,F,F,F,0.6,0.63,0.63,0.62,0.71,0.57,0.71,0.63,0.5,0.44,0.59,0.42,0.4,0.4,0.42,F,F,0.57,0.58,0.64,0.53,0.51,0.6,F,F,0.42,0.43,0.43,0.4,0.44,0.43,F,F,0.52,0.63,0.5,0.51,0.57,F,0.57,0.47,0.44,0.33,0.4,0.49,0.46,0.47,0.48,0.55,0.63,0.6,0.5,0.54,0.53,F,0.55,0.34,0.44,0.51,0.44,0.55,0.52,0.52,0.51,0.45,0.6,0.63,0.45,0.52,F,F,0.22,0.37,0.44,0.46,0.52,0.52,0.5,0.48,0.48,0.55,0.55,0.47,0.52,0.47,F,0.38,F,0.35,0.35,0.35,0.34,0.38,0.43,0.38,0.31,0.31,0.48,0.48,F,0.32,F,0.25,0.29,F,F,F,0.44,0.44,0.46,0.43,0.29,0.36,0.37,0.32,0.33,F,F,F,0.23,0.19,0.17,0.38,0.43,0.44,0.46,0.45,0.44,0.44,0.51,0.49,F,F,F,F,F,0.35,0.36,0.32,0.43,0.45,0.48,0.42,0.4,0.51,0.47,0.51,F,0.36,F,F,0.36,0.35,F,0.39,0.43,0.49,0.45,0.43,0.43,0.47,0.5,0.45,0.45,0.33,0.31,0.3,0.3,0.35,0.35,F,0.49,0.51,0.39,0.39,0.43,0.42,0.47,0.35,0.35,0.27,0.58,0.6,0.61,0.3,0.49,0.49
MOD15A2H.A2010337.h30v12.006.2021178035318.Fpar_500m,MOD15A2H,A2010337,Lat-33.6152Lon150.7236Samp17Line17,2021178035318,F,F,F,0.51,0.56,0.56,0.46,0.61,0.62,0.63,0.53,0.51,0.52,0.51,0.51,F,0.68,0.84,F,0.69,0.6,0.69,0.77,0.61,0.62,0.49,0.51,0.5,0.56,0.51,F,0.74,0.66,F,0.8,0.87,0.66,0.71,0.77,0.72,0.61,0.57,0.57,0.5,0.6,0.55,0.65,0.65,0.76,F,0.55,0.83,0.7,0.71,0.71,0.7,0.72,0.54,0.52,0.57,0.6,0.54,0.77,0.73,0.56,0.67,0.47,0.64,0.7,0.63,0.61,0.68,0.56,0.61,0.54,0.57,0.79,0.65,0.57,0.51,0.65,0.63,0.55,0.56,F,0.72,0.55,0.58,0.6,0.61,0.72,0.64,0.63,0.63,0.67,0.51,0.66,0.46,0.53,F,F,F,0.52,0.69,0.6,0.65,0.68,0.63,0.77,0.78,0.53,0.51,0.66,0.55,0.45,0.5,0.53,F,F,0.58,0.7,0.77,0.62,0.57,0.71,F,F,0.44,0.57,0.56,0.52,0.59,0.45,F,F,0.59,0.62,0.57,0.55,0.78,F,0.58,0.49,0.45,0.45,0.45,0.52,0.59,0.56,0.56,0.51,0.68,0.54,0.6,0.74,0.62,F,0.54,0.35,0.42,0.43,0.64,0.58,0.59,0.52,0.59,0.42,0.39,0.38,0.32,0.71,F,F,0.32,0.33,0.49,0.37,0.64,0.64,0.61,0.37,0.34,0.32,0.39,0.38,0.34,0.38,F,0.25,F,0.34,0.4,0.44,0.49,0.37,0.43,0.33,0.35,0.44,0.42,0.37,F,0.35,F,0.32,0.26,F,F,F,0.34,0.36,0.37,0.42,0.28,0.36,0.35,0.26,0.29,F,F,F,0.41,0.11,0.28,0.36,0.33,0.32,0.32,0.36,0.31,0.33,0.37,0.3,F,F,F,F,F,0.27,0.37,0.33,0.36,0.44,0.36,0.33,0.32,0.36,0.26,0.36,F,0.32,F,F,0.3,0.25,F,0.34,0.36,0.44,0.44,0.39,0.33,0.33,0.33,0.33,0.32,0.31,0.3,0.31,0.3,0.25,0.28,F,0.43,0.4,0.32,0.33,0.32,0.3,0.33,0.24,0.23,0.34,F,F,F,0.3,0.37,0.38
MOD15A2H.A2010345.h30v12.006.2021178153750.Fpar_500m,MOD15A2H,A2010345,Lat-33.6152Lon150.7236Samp17Line17,2021178153750,0.84,0.83,0.85,0.68,0.7,0.72,0.62,0.7,0.75,0.76,0.72,0.69,0.67,0.71,0.82,0.81,0.52,0.84,0.85,0.74,0.65,0.75,0.77,0.75,0.73,0.68,0.72,0.72,0.67,0.71,0.79,0.69,0.68,F,0.83,0.83,0.69,0.75,0.75,0.69,0.69,0.73,0.69,0.65,0.67,0.76,0.62,0.6,0.7,F,0.6,0.82,0.69,0.7,0.71,0.69,0.75,0.7,0.69,0.65,0.75,0.76,0.76,0.65,0.58,0.6,0.45,0.58,0.72,0.66,0.69,0.7,0.64,0.68,0.69,0.62,0.69,0.61,0.63,0.6,0.5,0.5,0.53,0.55,F,0.68,0.68,0.66,0.64,0.68,0.67,0.58,0.64,0.61,0.76,0.46,0.52,0.54,0.55,F,F,F,0.6,0.66,0.64,0.68,0.71,0.65,0.69,0.7,0.52,0.48,0.63,0.52,0.47,0.51,0.54,F,F,0.58,0.68,0.58,0.58,0.68,0.69,F,F,0.45,0.6,0.6,0.56,0.51,0.47,F,F,0.53,0.72,0.6,0.56,0.63,F,0.68,0.57,0.57,0.51,0.49,0.56,0.6,0.57,0.48,0.62,0.62,0.65,0.69,0.52,0.49,F,0.59,0.45,0.54,0.58,0.64,0.64,0.63,0.51,0.48,0.43,0.52,0.63,0.54,0.59,F,F,0.35,0.43,0.55,0.51,0.66,0.66,0.59,0.51,0.42,0.52,0.52,0.47,0.56,0.47,F,0.38,F,0.43,0.5,0.48,0.46,0.51,0.58,0.47,0.52,0.5,0.64,0.55,F,0.41,F,0.36,0.45,F,F,F,0.5,0.5,0.5,0.54,0.41,0.55,0.5,0.41,0.46,F,F,F,0.38,0.12,0.31,0.46,0.51,0.5,0.53,0.51,0.52,0.51,0.55,0.57,F,F,F,F,F,0.44,0.47,0.45,0.51,0.55,0.54,0.51,0.5,0.61,0.58,0.62,F,0.44,F,F,0.4,0.44,F,0.45,0.51,0.63,0.61,0.55,0.52,0.56,0.64,0.59,0.55,0.45,0.39,0.39,0.41,0.44,0.5,F,0.58,0.59,0.49,0.46,0.51,0.56,0.56,0.41,0.4,0.46,0.7,0.66,0.66,0.41,0.47,0.63
MOD15A2H.A2010353.h30v12.006.2021178201620.Fpar_500m,MOD15A2H,A2010353,Lat-33.6152Lon150.7236Samp17Line17,2021178201620,F,F,0.75,0.38,0.75,0.79,0.54,0.76,0.83,0.7,0.7,0.6,0.45,0.56,0.56,0.56,0.36,0.88,0.88,0.72,0.74,0.79,0.49,0.49,0.47,0.47,0.46,0.46,0.51,0.51,0.55,0.44,0.44,F,0.88,0.86,0.73,0.52,0.51,0.48,0.48,0.48,0.46,0.48,0.56,0.56,0.44,0.44,0.45,F,0.43,0.72,0.61,0.6,0.46,0.46,0.48,0.47,0.47,0.48,0.48,0.52,0.5,0.5,0.43,0.43,0.37,0.37,0.41,0.45,0.45,0.46,0.46,0.48,0.49,0.49,0.53,0.43,0.43,0.45,0.43,0.43,0.44,0.37,F,0.45,0.45,0.46,0.46,0.48,0.49,0.4,0.42,0.55,0.47,0.41,0.41,0.44,0.48,F,F,F,0.47,0.44,0.51,0.55,0.55,0.43,0.49,0.49,0.41,0.41,0.41,0.37,0.45,0.45,0.36,F,F,0.42,0.42,0.55,0.41,0.5,0.49,F,F,0.54,0.42,0.41,0.4,0.45,0.36,F,F,0.42,0.39,0.39,0.39,0.47,F,0.46,0.57,0.61,0.61,0.61,0.4,0.48,0.48,0.48,0.5,0.57,0.57,0.39,0.47,0.37,F,0.46,0.47,0.49,0.61,0.46,0.46,0.43,0.5,0.5,0.42,0.5,0.49,0.41,0.37,F,F,0.58,0.55,0.53,0.35,0.36,0.36,0.46,0.5,0.5,0.5,0.49,0.41,0.49,0.5,F,0.58,F,0.47,0.55,0.35,0.35,0.59,0.57,0.59,0.56,0.56,0.32,0.33,F,0.34,F,0.38,0.47,F,F,F,0.29,0.34,0.59,0.56,0.53,0.56,0.32,0.33,0.32,F,F,F,0.28,0.34,0.29,0.55,0.29,0.34,0.34,0.34,0.36,0.36,0.36,0.35,F,F,F,F,F,0.33,0.33,0.33,0.33,0.36,0.36,0.34,0.36,0.36,0.35,0.36,F,0.29,F,F,0.24,0.24,F,0.33,0.36,0.36,0.36,0.36,0.36,0.36,0.37,0.28,0.29,0.29,0.27,0.3,0.3,0.41,0.41,F,0.35,0.38,0.34,0.34,0.34,0.36,0.32,0.29,0.29,0.34,0.61,0.61,0.61,0.4,0.4,0.4
MOD15A2H.A2010361.h30v12.006.2021180021010.Fpar_500m,MOD15A2H,A2010361,Lat-33.6152Lon150.7236Samp17Line17,2021180021010,0.89,0.88,0.89,0.83,0.75,0.73,0.66,0.75,0.76,0.75,0.72,0.69,0.69,0.71,0.79,0.78,0.54,0.88,0.89,0.74,0.73,0.73,0.75,0.74,0.71,0.67,0.7,0.73,0.69,0.71,0.78,0.66,0.66,F,0.88,0.89,0.75,0.68,0.75,0.7,0.71,0.74,0.71,0.73,0.73,0.72,0.63,0.65,0.71,F,0.64,0.89,0.75,0.69,0.73,0.71,0.72,0.68,0.69,0.69,0.75,0.78,0.8,0.71,0.71,0.62,0.47,0.58,0.72,0.69,0.68,0.68,0.68,0.65,0.68,0.69,0.74,0.64,0.67,0.65,0.47,0.47,0.54,0.58,F,0.69,0.67,0.66,0.62,0.65,0.67,0.64,0.64,0.64,0.65,0.53,0.58,0.58,0.56,F,F,F,0.63,0.65,0.7,0.65,0.71,0.66,0.72,0.71,0.51,0.53,0.66,0.52,0.56,0.6,0.56,F,F,0.64,0.63,0.73,0.61,0.68,0.67,F,F,0.48,0.63,0.64,0.57,0.62,0.55,F,F,0.61,0.7,0.6,0.71,0.73,F,0.63,0.63,0.61,0.62,0.65,0.67,0.67,0.58,0.54,0.62,0.7,0.74,0.69,0.65,0.56,F,0.61,0.52,0.59,0.59,0.68,0.71,0.63,0.6,0.6,0.55,0.6,0.73,0.61,0.62,F,F,0.46,0.48,0.59,0.59,0.68,0.71,0.65,0.62,0.58,0.54,0.59,0.52,0.6,0.59,F,0.44,F,0.52,0.51,0.59,0.57,0.54,0.6,0.51,0.54,0.59,0.65,0.59,F,0.54,F,0.5,0.44,F,F,F,0.48,0.54,0.55,0.6,0.51,0.59,0.53,0.45,0.44,F,F,F,0.41,0.12,0.37,0.53,0.53,0.53,0.52,0.53,0.55,0.52,0.58,0.6,F,F,F,F,F,0.42,0.51,0.5,0.54,0.64,0.56,0.52,0.52,0.6,0.6,0.59,F,0.52,F,F,0.45,0.46,F,0.49,0.53,0.64,0.64,0.6,0.57,0.57,0.63,0.59,0.56,0.54,0.51,0.47,0.44,0.47,0.54,F,0.61,0.6,0.52,0.52,0.57,0.58,0.57,0.43,0.42,0.54,0.81,0.82,0.83,0.54,0.57,0.64
